,loss,mse,val_loss,val_mse,lr
0,1445.9200439453125,171.11753845214844,1384.8873291015625,160.33441162109375,1e-04
1,1384.8719482421875,156.84217834472656,1362.3280029296875,157.4533233642578,1e-04
2,1362.9365234375,152.6140899658203,1359.545166015625,151.17286682128906,1e-04
3,1347.4071044921875,149.90882873535156,1351.5609130859375,148.0148468017578,1e-04
4,1333.4193115234375,147.6527557373047,1363.2706298828125,155.11239624023438,1e-04
5,1300.0101318359375,144.09263610839844,1304.5712890625,143.62403869628906,1e-05
6,1286.7896728515625,142.70506286621094,1296.0299072265625,142.4943389892578,1e-05
7,1276.4239501953125,141.18621826171875,1292.438720703125,142.48184204101562,1e-05
8,1261.010986328125,138.95599365234375,1268.849365234375,139.49729919433594,1e-05
9,1243.97998046875,136.4188995361328,1254.448974609375,137.891357421875,1e-05
10,1229.509033203125,134.21849060058594,1244.4927978515625,135.15037536621094,1e-05
11,1214.3463134765625,132.26182556152344,1220.9051513671875,132.9513397216797,1e-05
12,1194.2388916015625,130.73565673828125,1210.3592529296875,133.05337524414062,1e-05
13,1181.1282958984375,129.70654296875,1195.3349609375,131.762451171875,1e-05
14,1171.57421875,128.79278564453125,1226.7080078125,133.36907958984375,1e-05
15,1154.75537109375,127.4160385131836,1188.5614013671875,130.8423614501953,1e-06
16,1152.8765869140625,127.18031311035156,1187.7178955078125,131.1452178955078,1e-06
17,1151.71630859375,127.04391479492188,1187.592041015625,131.3002471923828,1e-06
18,1150.686767578125,126.86572265625,1187.17236328125,131.50428771972656,1e-06
19,1149.6484375,126.78919219970703,1187.1416015625,131.0640869140625,1e-06
20,1148.77294921875,126.67401123046875,1189.1905517578125,130.88265991210938,1e-06
21,1146.5931396484375,126.55525970458984,1186.6888427734375,131.11891174316406,1e-07
22,1146.355224609375,126.49653625488281,1186.796630859375,131.03297424316406,1e-07
23,1146.125732421875,126.46446990966797,1186.701416015625,131.07894897460938,1e-08
24,1146.0916748046875,126.47075653076172,1186.7037353515625,131.10195922851562,1e-08
